date,region_id,region_name,enrollments,updates
2025-01-01,R01,Maharashtra,12000,8200
2025-01-01,R02,Gujarat,9000,6100
2025-01-01,R03,Karnataka,10000,7300

2025-01-02,R01,Maharashtra,12500,8400
2025-01-02,R02,Gujarat,8800,6000
2025-01-02,R03,Karnataka,10200,7600

2025-01-03,R01,Maharashtra,11800,8000
2025-01-03,R02,Gujarat,9100,6200
2025-01-03,R03,Karnataka,9800,7100

2025-01-04,R01,Maharashtra,13000,8600
2025-01-04,R02,Gujarat,9400,6500
2025-01-04,R03,Karnataka,10500,7800

2025-01-05,R01,Maharashtra,12700,8500
2025-01-05,R02,Gujarat,9200,6400
2025-01-05,R03,Karnataka,10300,7600
